model,type,n,RMSE_psia,MAE_psia,R2,MAPE_%,sMAPE_%,MASE,Theil_U,Bias_psia,DirAcc_%
"LSTM (multi, W=10)",multivariate,4044,0.1060200374055762,0.08477238046254088,0.8504441009746821,0.17821109951672473,0.17821061986933337,0.7187999927342299,0.7164067272410857,-0.0006789791607228866,73.86251236399605
LSTM (uni),univariate,4044,0.11107228837879866,0.08860346861194696,0.8358506827365241,0.1862643494394402,0.1862584947465741,0.7512844660842984,0.7505461849652962,0.0010290817375839287,72.25519287833828
MLP baseline,univariate,4044,0.11135753337003675,0.08877257555579483,0.8350064956925808,0.18661918781193274,0.1866163238655585,0.7527183537414095,0.7524736642950106,0.00017422563542863378,72.13155291790306
ExpSmoothing,univariate,3844,0.11239326618061234,0.08965644645785144,0.832040654725066,0.1883574218855986,0.18843025165311322,0.7602128512948553,0.7629898771994593,-0.01949141951011574,71.85223725286161
"ARIMA(0,1,1)",univariate,3844,0.11431100229362649,0.09147251588042252,0.8262600651861285,0.19209793028758937,0.19221824488032543,0.7756116248178635,0.7760085685418597,-0.03142444406737233,71.48803329864725
"SARIMAX(0,1,1)+8",multivariate,3444,0.1192684013076858,0.09517526627724918,0.8112301006257296,0.19982600773883222,0.19994082022647255,0.807007899687268,0.8063092427595295,-0.02944008503813783,70.8478513356562
