config,trend,damped,n_engines_fit,n_engines_skipped,aic_mean,aicc_mean,bic_mean,rmse_insample_mean,alpha_mean,beta_mean,phi_mean
SES,,False,80,0,-1106.84651434384,-1106.6374148548616,-1100.241331153374,0.06738770874884925,0.20334920091240827,,
Holt-add,add,False,80,0,-1118.2032250719883,-1117.7592668924426,-1104.9928586910562,0.06489393262506729,0.083418856644156,0.06768937361052371,
Holt-add-damped,add,True,80,0,-1114.923068840439,-1114.3278356520982,-1098.4101108642737,0.06509176723894378,0.08868105160542047,0.07398433312071592,0.9949063239308433
Holt-mul,mul,False,79,1,-1115.4914266281253,-1115.0457152380216,-1102.298240777609,0.06446620089461053,0.07243925379454677,0.05554221727930205,
Holt-mul-damped,mul,True,79,1,-1111.675464182538,-1111.0778705630046,-1095.1839818693925,0.06474676657325622,0.07892488716888184,0.06506073962754735,0.9940710002694118
