alpha,beta,rmse_scaled,rmse_psia,mae_psia,r2,n
0.3,0.2,0.07162911801741106,0.12033691826925057,0.09592465119989808,0.8074559275686155,3864
0.2,0.2,0.07164492228967878,0.12036346944666033,0.09471160807674112,0.8073709522196283,3864
0.3,0.1,0.07320890143848925,0.12299095441666193,0.09655828690688681,0.7988691329529352,3864
0.4,0.1,0.07322683184458284,0.12302107749889915,0.0978389060142636,0.7987705984936038,3864
0.2,0.4,0.07325909213403725,0.12307527478518256,0.09821833705758858,0.7985932550650171,3864
0.15,0.4,0.07370534175888559,0.12382497415492777,0.09831712396167586,0.7961320882197809,3864
0.4,0.2,0.07386312596772435,0.12409005162577688,0.0991859805385395,0.795258296247872,3864
0.5,0.1,0.07497035275921644,0.1259501926354836,0.10048264626658601,0.7890740302031118,3864
0.3,0.4,0.07521512162750488,0.12636140433420817,0.10130497124703995,0.7876944877921737,3864
0.15,0.2,0.0763391848883551,0.12824983061243656,0.09749119202832204,0.7813014101183371,3864
0.5,0.2,0.07658647764491197,0.1286652824434521,0.10287513255335172,0.7798822130274843,3864
0.5,0.05,0.07735309547408045,0.12995320039645514,0.10270205568381685,0.7754534734916876,3864
0.6,0.1,0.07740135337075525,0.1300342736628688,0.10387642395214416,0.7751732126138459,3864
0.4,0.05,0.07812842346710552,0.13125575142473725,0.102289119676023,0.7709295506936275,3864
0.4,0.4,0.07814282611096691,0.13127994786642438,0.10499135009388151,0.7708450865753789,3864
0.6,0.05,0.07838646806334551,0.13168926634642045,0.10472289513891576,0.769413892124149,3864
0.6,0.2,0.07964037144062588,0.13379582402025147,0.10697839567585105,0.7619777809786459,3864
0.1,0.4,0.08006416483065024,0.13450779691549236,0.10302115506539909,0.7594378473003938,3864
0.7,0.1,0.0803047158859288,0.13491192268836036,0.10792298274797747,0.7579901481802824,3864
0.7,0.05,0.08039660118648365,0.1350662899932925,0.107777381705156,0.7574360121077535,3864
0.2,0.1,0.0804276863808068,0.1351185131197554,0.09984712786060147,0.7572484020277184,3864
0.5,0.4,0.0814725628142773,0.13687390552798584,0.10934812915839827,0.7509000149762213,3864
0.7,0.2,0.08306799983556476,0.13955423972374878,0.11168397048676612,0.7410484871275403,3864
0.8,0.05,0.0831089992220258,0.13962311869300334,0.11171745185075249,0.7407928056805094,3864
0.3,0.05,0.0833710673644746,0.1400633931723173,0.10509397274109118,0.7391555088646968,3864
0.8,0.1,0.08367167531010951,0.14056841452098395,0.11260013551881852,0.7372710831862916,3864
0.6,0.4,0.08519435921695691,0.1431265234844876,0.11439215466457564,0.7276216232210424,3864
0.9,0.05,0.08646248529080985,0.14525697528856052,0.11647864171457073,0.7194525177575477,3864
0.8,0.2,0.08696649364292663,0.1461037093201167,0.11708152006422899,0.7161722420597886,3864
0.9,0.1,0.08757452257268138,0.14712519792210468,0.11799094687434453,0.7121895870378121,3864
0.7,0.4,0.08941986748379531,0.15022537737277608,0.12022847148820458,0.6999324794329539,3864
0.9,0.2,0.09147591694829497,0.15367954047313553,0.12332332260687058,0.6859748086379015,3864
0.8,0.4,0.09431765385119141,0.15845365847000153,0.12703231824331182,0.666161112674043,3864
0.15,0.1,0.09453774641452517,0.15882341397640226,0.107437628745142,0.6646012523119553,3864
0.1,0.2,0.09648803272841495,0.1620998949837371,0.11012739451644386,0.6506201537052059,3864
0.9,0.4,0.10013106454136787,0.16822018842949799,0.13499898694253268,0.6237395135281208,3864
0.2,0.05,0.10314885038063495,0.1732900686394667,0.11697784345927302,0.6007180021220382,3864
0.15,0.05,0.12978585001376644,0.21804022802312759,0.1328986133409139,0.3678711124718881,3864
0.05,0.4,0.13283837468926854,0.22316846947797112,0.14422107119852984,0.33778646599144624,3864
0.1,0.1,0.13330353023033314,0.22394993078695966,0.13093808338691287,0.33314064570873303,3864
0.05,0.2,0.18715102500806435,0.31441372201354806,0.17839964536488226,-0.31442365415403484,3864
0.1,0.05,0.19101215757038303,0.3209004247182434,0.1721291659140024,-0.36921915520421034,3864
0.05,0.1,0.27023095175687495,0.45398799895154984,0.2415679863157136,-1.7404452349358142,3864
0.05,0.05,0.38732679318031327,0.6507090125429261,0.34142123872835856,-4.6299692946270286,3864
