engine_id,d,n_points,adf_stat,adf_p,adf_stationary,kpss_stat,kpss_p,kpss_stationary
0,0,191,2.351320500491044,0.9989855273602127,False,1.7349687944910956,0.01,False
1,0,286,4.171559422807327,1.0,False,2.2775421664913735,0.01,False
2,0,178,4.686728764678216,1.0,False,1.7127966558370649,0.01,False
3,0,188,2.561761625135991,0.9990670977875298,False,1.6834394116829363,0.01,False
4,0,268,3.645309353377647,1.0,False,2.1407127444682437,0.01,False
5,0,187,1.5015193130762188,0.9975298729795155,False,1.725902449030819,0.01,False
7,0,149,0.7745908827501152,0.9912147464900646,False,1.5359083444344561,0.01,False
9,0,221,1.3041534606470246,0.9966320904835276,False,2.0167751643727465,0.01,False
10,0,239,4.082976924514552,1.0,False,2.043206447584046,0.01,False
15,0,208,1.1364029991317472,0.9955156401395423,False,1.9961177635714944,0.01,False
16,0,275,4.108834380897191,1.0,False,2.0646996385243868,0.01,False
17,0,194,3.3784785920521707,1.0,False,1.573737738732768,0.01,False
18,0,157,-0.06903351221025765,0.9524368922540242,False,1.577639456290013,0.01,False
20,0,194,2.0271924162404185,0.998707259744198,False,1.7160634299290325,0.01,False
21,0,201,2.0396484297095823,0.9987223067981295,False,1.786342525959508,0.01,False
23,0,146,2.3376227765064392,0.9989778623437144,False,1.5210154200256882,0.01,False
24,0,229,0.5563314336056592,0.9864883270299163,False,1.9213442080007705,0.01,False
25,0,198,2.31717809744083,0.9989658380715843,False,1.7378651914496253,0.01,False
26,0,155,2.7155676872760273,0.9990876818668358,False,1.5542461542692427,0.01,False
27,0,164,3.094829347973035,1.0,False,1.5781380397354285,0.01,False
28,0,162,2.577994359548104,0.9990707596555333,False,1.5184859386183993,0.01,False
29,0,193,2.853358336445525,1.0,False,1.6341511236577997,0.01,False
30,0,233,2.2483308622501172,0.9989199731682918,False,1.9829469271678921,0.01,False
31,0,190,0.0340759269579934,0.9612610421312424,False,1.7169402155487168,0.01,False
32,0,199,4.604405683280098,1.0,False,1.8170301149255756,0.01,False
33,0,194,1.5967906637343345,0.997847915468964,False,1.6548914074590706,0.01,False
34,0,180,0.6051927888407053,0.9877429255701582,False,1.7885550245921098,0.01,False
37,0,193,0.575843058579387,0.9870048173184145,False,1.648485702913548,0.01,False
38,0,127,0.3102826972446904,0.9778113629420054,False,1.6093375867236968,0.01,False
39,0,187,0.9698428179569694,0.9939373408656221,False,1.7787731776445321,0.01,False
40,0,215,2.4812599732158205,0.9990435573454943,False,1.8320483552806652,0.01,False
42,0,206,4.221074784053645,1.0,False,1.8402743584550292,0.01,False
